Name,Phone,Email,Location
Cancer Survivorship and Wellness Institute,(415) 514-2880,,San Francisco
Cancer Symptom Management,(415) 885-7671,,San Francisco
Cardiac Critical Care Unit,(415) 353-1007,,San Francisco
Cardiac Rehabilitation and Wellness Center,(415) 514-9269,,San Francisco
Cardiac Surgery Program,(415) 353-1606,,San Francisco
Cardiology Clinic at Mount Zion,(415) 885-3666,,San Francisco
Cardio-Oncology & Immunology Program,(415) 353-3110,,San Francisco
Cardiovascular Care and Prevention Center – Golden Gate Practice,(415) 502-5099,,San Francisco
Cardiovascular Care and Prevention Center at Mission Bay,(415) 353-2873,,San Francisco
Cardiovascular Care and Prevention Center at Parnassus,(415) 353-2873,,San Francisco
Cardiovascular Genetics Program,(415) 353-2873,,San Francisco
Cartilage Repair and Regeneration Center,(415) 353-7566,,San Francisco
Center for Aortic Disease,(415) 353-2256,,San Francisco
Center for Colorectal Surgery,(415) 885-3606,,San Francisco
Center for Complex Obstetric Medicine,(415) 353-2566,,San Francisco
Center for Encephalitis & Meningitis,(415) 353-2069,,San Francisco
Center for Geriatric Care,"['(415) 353-4900', '(844) 727-8273']",,San Francisco
Center for Minimally Invasive Gynecologic Surgery ,(415) 353-3400,,San Francisco
Center for Neuroendocrine Tumors,(415) 476-2212,,San Francisco
Center for Pain Medicine,(415) 885-3552,,San Francisco
Center for Pelvic Physiology,(415) 885-7673,,San Francisco
Center for Pregnancy Options,(415) 353-3400,,San Francisco
Center for Prevention of Heart and Vascular Disease,(415) 514-6541,,San Francisco
Center for Reproductive Health at Mission Bay,(415) 353-7475,,San Francisco
Center for Reproductive Health at Mount Zion,(415) 353-7475,,San Francisco
Center for Sexual Health,(415) 885-7788,,San Francisco
Center for Urogynecology and Women's Pelvic Health,415.353-3400,,Berkeley
Cerebrovascular Neurosurgery Clinic,(415) 353-7500,,San Francisco
Cochlear Implant Center,(415) 353-2464,,San Francisco
Colitis and Crohn's Disease Center,(415) 353-7921,,San Francisco
Complex Abdominal Surgery Program,(415) 353-2161,,San Francisco
Complex Contraception Clinic,(415) 353-3400,,San Francisco
Comprehensive Fibroid Center,(415) 353-3400,,San Francisco
Comprehensive Genetic Arrhythmia Program,(415) 353-2554,,San Francisco
Comprehensive Ophthalmology & Optometry Clinic,(415) 353-2800,,San Francisco
Corneal Disease and Surgery Clinic,(415) 353-2020,,San Francisco
Cutaneous Lymphoma Clinic,(415) 353-7800,,San Francisco
Cystic Fibrosis Center,(415) 353-2961,,San Francisco
Dental Implant Center,(415) 476-1316,,San Francisco
Dermatologic Surgery and Laser Center,(415) 353-7878,,San Francisco
Dermatology Clinic at China Basin,"['(415) 353-7800', '(415) 353-9568']",,San Francisco
Dermatology Clinic at Mount Zion,"['(415) 353-7800', '(415) 353-7878']",,San Francisco
Diabetes Clinic at Mount Zion,(415) 885-3868,,San Francisco
Diabetes Clinic at Parnassus,(415) 353-2350,,San Francisco
Diabetes Teaching Center,(415) 353-2266,,San Francisco
Dialysis Center,(415) 885-7421,,San Francisco
ECG/Stress Testing Laboratories at Mount Zion,(415) 885-7321,,San Francisco
ECG/ Stress Testing/ Nuclear Cardiology Laboratories at Parnassus,(415) 353-1931,,San Francisco
Echocardiography Lab at Mount Zion,(415) 353-1262,,San Francisco
Echocardiography Lab at Parnassus,(415) 353-1262,,San Francisco
Electromyography Clinic at the Orthopaedic Institute,(415) 353-2808,,San Francisco
Cardiac Electrophysiology and Arrhythmia Service,(415) 353-2554,,San Francisco
Emergency Department,"['(415) 353-1037', '(415) 353-1238']",,San Francisco
Endocrine Surgery and Oncology Clinic,(415) 885-7404,,San Francisco
"Endocrine, Diabetes & Pregnancy Program",(415) 353-2928,,San Francisco
Endocrinology Clinic at Mount Zion,(415) 885-3868,,San Francisco
Endocrinology Clinic at Parnassus,(415) 353-2350,,San Francisco
Endometriosis Center,(415) 353-3400,,San Francisco
Endoscopy at Mount Zion,"['(415) 885-7768', '(415) 502-4444']",,San Francisco
Endoscopy at Parnassus,(415) 502-4444,,San Francisco
Epilepsy Center,(415) 353-2437,,San Francisco
Esophageal Motility Center,(415) 502-4444,,San Francisco
Facial Plastic and Reconstructive Surgery Clinic,(415) 353-9500,,San Francisco
Family Medicine Center at Lakeshore,"['(415) 353-9339', '(844) 727-8273 (PCP-UCSF)']",,San Francisco
Fertility Preservation Program,(415) 353-9115,,San Francisco
Fetal Treatment Center,(800) 793-3887,,San Francisco
Fine Needle Aspiration Biopsy Clinic,(415) 353-7043,,San Francisco
Foot & Ankle Service,(415) 353-2808,,San Francisco
Gastroenterology at Mount Zion,(415) 502-4444,,San Francisco
Gastrointestinal Medical Oncology Clinic,(415) 353-9888,,San Francisco
Gastrointestinal Surgery at Parnassus,(415) 353-2161,,San Francisco
Gastrointestinal Surgical Oncology Clinic,(415) 502-5577,,San Francisco
Gender Affirming Health Program,(415) 885-7770,,San Francisco
General Internal Medicine at Post Street,"['(415) 353-7900', '(844) 727-8273 (PCP-UCSF)']",,San Francisco
General Internal Medicine at Sutter Street,"['(415) 353-7999', '(844) 727-8273 (PCP-UCSF)']",,San Francisco
General Neurology Clinic,(415) 353-2273,,San Francisco
Genitourinary Medical Oncology Clinic,(415) 476-4616,,San Francisco
Glaucoma Clinic,(415) 353-2020,,San Francisco
Gynecologic Dysplasia Clinic,(415) 353-3400,,San Francisco
Gynecologic Oncology Center,(415) 353-9600,,San Francisco
Gynecology for Cancer Survivors and At-Risk Women,(415) 353-3400,,San Francisco
"Hand, Elbow & Upper Extremity Surgery Center",(415) 353-2808,,San Francisco
Head and Neck Medical Oncology Program,(415) 476-7119,,San Francisco
Head & Neck Surgery Cancer Program,(415) 885-7528,,San Francisco
Headache Center,(415) 353-8393,,San Francisco
Healing Alcohol-Associated Liver Disease Together (HALT) Clinic,(415) 353-2318,,San Francisco
Heart Transplant Program,(415) 502-4243,,San Francisco
Heart Valve Disease Clinic,(415) 353-2873,,San Francisco
"Hematology, Blood & Marrow Transplant, and Cellular Therapy (HBC) Program","['(415) 353-2051', '(877) 827-3226', '(415) 353-2421']",,San Francisco
Hemophilia Treatment Center,(415) 476-4170,,San Francisco
Hereditary Cancer Clinic,(415) 353-9797,,San Francisco
HHT Center of Excellence,(415) 353-8867,,San Francisco
High-Risk Skin Cancer Clinic,(415) 353-7878,,San Francisco
HIV and Aging Program,(415) 353-2119,,San Francisco
HIV/AIDS Program,(415) 353-2119,,San Francisco
Hospital Dentistry Service,(415) 476-1316,,San Francisco
Human Performance Center,(415) 514-6077,,San Francisco
Huntington's Disease & Ataxia Clinic,(415) 353-2057,,San Francisco
Hypertrophic Cardiomyopathy Clinic,(415) 476-3269,,San Francisco
Imaging Center at Montgomery Street,"['(415) 502-1330', '(415) 353-3900']",,San Francisco
Infectious Diseases Clinic,(415) 353-2626,,San Francisco
Infusion Center,(415) 353-7155,,San Francisco
Intensive Care Unit at Parnassus,(415) 353-1621,,San Francisco
Interstitial Lung Disease (ILD) Program,(415) 353-2577,,San Francisco
Interventional Cardiology Program,(415) 353-2873,,San Francisco
Interventional Pulmonary Practice,(415) 885-3882,,San Francisco
Interventional Radiology Clinic,"['(415) 514-8888', '(415) 353-1300', '(415) 353-1300']",,San Francisco
Intestinal Ultrasound Clinic,(415) 502-4444,,San Francisco
Kidney Transplant at Fresno,(415) 353-1551,,Fresno
Kidney Transplant at Modesto,(415) 353-1551,,Modesto
Kidney Transplant at Monterey,(415) 353-1551,,Monterey
Kidney Transplant at Tracy,(415) 353-1551,,Tracy
Kidney Transplant at Walnut Creek,(415) 353-1551,,Walnut Creek
Kidney Transplant Center,(415) 353-1551,,San Francisco
Lab Services at Lakeshore,(415) 353-2736,,San Francisco
Lab Services at Mission Bay,(415) 514-2629,,San Francisco
Lab Services at Mount Zion,(415) 885-7531,,San Francisco
Lab Services at Parnassus,(415) 353-2736,,San Francisco
Laser Vision Center,(415) 353-2020,,San Francisco
Center for Limb Preservation,"['(415) 353-2357', '(415) 353-2256']",,San Francisco
Lipid Practice,(415) 353-2350,,San Francisco
Liver Disease and Liver Transplant,(415) 353-2318,,San Francisco
Liver Transplant at Fremont,(415) 353-1888,,Fremont
Liver Transplant at Fresno,(415) 353-1888,,Fresno
Liver Transplant at Modesto,(415) 353-1888,,Modesto
Liver Transplant at Santa Clara,(415) 353-1888,,San Jose
Liver Transplant at Walnut Creek,(415) 353-1888,,Walnut Creek
Liver Transplant Program,(415) 353-1888,,San Francisco
Liver Tumor Clinic,"['(415) 353-2318', '(415) 353-8002 ']",,San Francisco
Lung Cancer Screening Program,(415) 244-5094,,San Francisco
Lung Health Center at Parnassus,(415) 353-2961,,San Francisco
Lung Transplant Program,(415) 353-4145,,San Francisco
Lupus Clinic,(415) 353-2497,,San Francisco
Lysosomal Storage Disease Center,(866) 476-2757,,San Francisco
Male Sexual & Reproductive Health Center,(415) 353-2200,,San Francisco
MarinHealth Breast Surgery & Breastfeeding Medicine,(415) 842-5150,,Greenbrae
MarinHealth Cardiovascular Medicine,(415) 927-0666,,Larkspur
MarinHealth Cardiovascular Performance Center,(415) 306-3694,,Novato
MarinHealth Critical Care & Pulmonology,(415) 924-1214,,Larkspur
MarinHealth Dermatology,(415) 499-0100,,San Rafael
MarinHealth Endocrine & Diabetes Care,(415) 461-1780,,Novato
MarinHealth Family Medicine,(415) 897-5171,,Novato
MarinHealth Gastroenterology,(415) 925-6900,,Corte Madera
MarinHealth General & Colorectal Surgery,(415) 924-2515,,Larkspur
MarinHealth General Surgery,(415) 924-2515,,Novato
MarinHealth Infectious Disease,(415) 924-1214,,Larkspur
MarinHealth Internal Medicine,(628) 336-5260,,Petaluma
MarinHealth Nephrology,(415) 925-3075,,Greenbrae
MarinHealth Neurology,(415) 683-2988,,Novato
MarinHealth OB/GYN & Urogynecology,(415) 461-7800,,Greenbrae
MarinHealth Orthopedic Care,(415) 388-2777,,San Rafael
MarinHealth Otolaryngology - Head and Neck Surgery,(707) 523-7025,,Santa Rosa
MarinHealth Pediatric After-Hours Care,(415) 464-1350,,Larkspur
MarinHealth Pediatric Care,(415) 925-8965,,San Rafael
MarinHealth Primary Care,(415) 492-3333,,San Rafael
MarinHealth Psychiatry,(628) 336-5460,,Novato
MarinHealth Rheumatology,(415) 464-9604,,San Rafael
MarinHealth Spine Institute,(415) 925-8200 ,,Larkspur
MarinHealth Supportive Care Center,(415) 925-7450,,Greenbrae
MarinHealth Urgent Care,(415) 925-8865,,San Rafael
MarinHealth Urology,(415) 461-4000,,Greenbrae
MarinHealth Vascular Medicine,(415) 464-5400,,Greenbrae
Mechanical Circulatory Support,(415) 502-4243,,San Francisco
Medication Alliance Clinic,"(415) 885-7788, option 2",,San Francisco
Melanoma & Skin Cancer Center,(415) 353-9900 ,,San Francisco
Memory and Aging Center,(415) 353-2057,,San Francisco
Men of Color HIV/AIDS Program,(415) 353-2119,,San Francisco
Metabolic Bone Clinic,(415) 353-2350,,San Francisco
Mission Bay Optical Dispensary,(415) 502-9160,,San Francisco
Movement Disorders Clinic,(415) 353-2311,,San Francisco
Mpox at UCSF,(415) 502-3566,,San Francisco
Multiple Sclerosis and Neuroinflammation Center,(415) 353-2069,,San Francisco
Myasthenia Gravis Clinic,(415) 353-2273,,San Francisco
Myocarditis Center,(415) 353-2873,,San Francisco
Nephrology and Hypertension Faculty Practice,(415) 353-2507,,San Francisco
Neuro/Psych Sleep Clinic,(415) 353-2273,,San Francisco
Neuroendovascular Surgery Program,(415) 353-1863,,San Francisco
Neuro-Infectious Diseases Clinic,(415) 353-2626,,San Francisco
Neurointensive Care Unit,"['(415) 353-8534', '(415) 353-1873']",,San Francisco
Neurointerventional Radiology,"['(415) 353-1863', '(415) 353-1869']",,San Francisco
Neurology Complex Diagnosis Clinic,(415) 502-9230,,San Francisco
Neuromuscular Clinic,(415) 353-2273,,San Francisco
Neuro-Ophthalmology Clinic,(415) 353-2020,,San Francisco
Neurorecovery Clinic,(415) 514-1252,,San Francisco
Neurosurgery Clinic,(415) 514-6868,,Greenbrae
NF/Ras Pathway Clinic,(415) 476-2757,,San Francisco
Nutrition Counseling Clinic at Parnassus,"['(415) 353-4174', '(415) 353-2291']",,San Francisco
"Obstetrics, Gynecology & Perinatal Specialties at Mission Bay – Fourth Street",(415) 353-3400,,San Francisco
Obstetrics & Gynecology at Mount Zion,(415) 353-3400,,San Francisco
Occupational and Environmental Medicine Clinic,(415) 885-7580,,San Francisco
Ocular Oncology Clinic,(415) 353-2020,,San Francisco
Oculofacial Plastic and Orbital Surgery Clinic,(415) 353-2020,,San Francisco
Oral and Maxillofacial Surgery Clinic,(415) 476-1316,,San Francisco
Oral Dysplasia Program,(415) 476-5903,,San Francisco
Sol Silverman Oral Medicine Clinic,(415) 476-2045,,San Francisco
Oral Oncology ,(415) 476-5903,,San Francisco
Orthopedic and Spine Institute at San Jose,(408) 347-4046,,San Jose
Orthopedic Spine Surgery at Greenbrae,(415) 353-2739,,Greenbrae
Orthopedic Surgical Oncology Clinic,(415) 885-3800,,San Francisco
Orthopedic Trauma Service,(415) 353-9400,,San Francisco
Orthotics & Prosthetics Center at Mission Bay,(415) 476-1788,,San Francisco
Orthotics & Prosthetics Center at Parnassus,(415) 476-1788,,San Francisco
Osher Center for Integrative Health,(415) 353-7700,,San Francisco
Otolaryngology/Head and Neck Surgery Clinic,(415) 353-2757,,San Francisco
"Otology, Neurotology and Skull Base Surgery",(415) 353-2757,,San Francisco
Outpatient Palliative Care Service,(415) 514-1966,,San Francisco
Outpatient Surgery Center at Parnassus,(415) 353-3130,,San Francisco
Pancreas Center,"['(415) 353-9888', '(415) 476-3270']",,San Francisco
Pancreas Transplant Services,(415) 353-1551,,San Francisco
Path Program Extension Clinic,(415) 476-7000,,San Francisco
Path Program for Early Psychosis,(415) 476-7278 ,,San Francisco
Perinatal Wellness Program,(415) 353-2566,,San Francisco
Peripheral Nerve Center,"['(415) 353-2273', '(415) 353-4665']",,San Francisco
Physical Therapy at Lakeshore,(415) 353-7598,,San Francisco
Physical Therapy at Mission Bay,(415) 353-7598,,San Francisco
Physical Therapy at Mount Zion,(415) 353-7598,,San Francisco
California Center for Pituitary Disorders,"['(415) 353-7500', '(866) 559-5543']",,San Francisco
Polycystic Kidney Disease (PKD) Center of Excellence,(415) 353-2507,,San Francisco
Plastic and Reconstructive Surgery Clinic,(415) 353-4201,,San Francisco
PCOS Clinic,(415) 885-3674,,San Francisco
Post-Acute Traumatic Brain Injury Program,(415) 502-9317,,San Francisco
Precision Spine and Peripheral Nerve Center,"['(415) 353-2573', '(415) 353-3717', '(415) 353-4500']",,San Francisco
Pregnancy and Cardiac Treatment (PACT) Program,(415) 353-2895,,San Francisco
Prenatal Diagnostic Center,(415) 353-3400,,Berkeley
Prepare Program,(415) 885-7241,,San Francisco
Primary Care at China Basin,(415) 514-4533,,San Francisco
Primary Care at Laurel Village,"['(415) 514-6200', '(844) 727-8273 (PCP-UCSF)']",,San Francisco
Prostate Cancer Center,"['(415) 353-7171', '(415) 476-4616']",,San Francisco
PROSE Clinic,(415) 353-2177,,San Francisco
Psoriasis and Skin Treatment Center,(415) 476-4701,,San Francisco
Psychiatry Clinic,(415) 476-7000,,San Francisco
Psycho-Oncology,(415) 353-7019,,San Francisco
Pulmonary Function Laboratory at Mount Zion,(415) 885-7755,,San Francisco
Pulmonary Function Laboratory at Parnassus,(415) 476-2995,,San Francisco
Pulmonary Hypertension Clinic,(415) 353-9088,,San Francisco
Pulmonary Practice at Mount Zion,(415) 885-7755,,San Francisco
Pulsatile Tinnitus Clinic,(415) 502-3895,,San Francisco
Radiation Oncology Program,(415) 353-7175,,San Francisco
Radiology at China Basin,"['(415) 353-4500', '(415) 353-3900']",,San Francisco
Radiology at Divisadero St.,"['(415) 353-2573', '(415) 885-7282', '(415) 885-3822', '(415) 502-4562']",,San Francisco
Radiology at Mission Bay,(415) 476-1568,,San Francisco
Radiology at Parnassus – Main Hospital,"['(415) 353-2573', '(415) 353-1968', '(415) 353-1300']",,San Francisco
Radiology at Parnassus – Medical Building 1,(415) 353-3900,,San Francisco
Radiology at Post Street,"['(415) 885-3771', '(415) 353-2573']",,San Francisco
Radiology at the Orthopaedic Institute,(415) 353-2573,,San Francisco
Radiology at the Women's Health Center,(415) 353-3900,,San Francisco
Redwood Shores Specialty Care Clinic,(415) 476-7877,,Redwood City
Retina and Vitreous Clinic,(415) 353-2020,,San Francisco
Rheumatoid Arthritis Clinic,(415) 353-2497,,San Francisco
Rheumatology Clinic,(415) 353-2497,,San Francisco
RunSafe Clinic,(415) 514-6077,,San Francisco
Salivary Gland Surgery Center at Mission Bay,(415) 885-7528,,San Francisco
Salivary Gland Surgery Center at Mount Zion,(415) 353-2757,,San Francisco
San Mateo Primary and Specialty Care,(415) 502-8950,,San Mateo
Sarcoma Program,(415) 502-1622,,San Francisco
Scleroderma Clinic,(415) 353-4407,,San Francisco
Screening & Acute Care Clinic,(415) 353-2602,,San Francisco
Sinus Center,(415) 353-2757,,San Francisco
Sjögren's Syndrome Clinic,(415) 476-2045,,San Francisco
Skeletal Health Service,(415) 353-2808,,San Francisco
Sleep Disorders Center,(415) 885-7886,,San Francisco
Snoring and Sleep Apnea Surgery Clinic,(415) 353-2757,,San Francisco
Spine Center,(866) 817-7463,,San Francisco
Sports Concussion Program,(415) 353-1915,,San Francisco
Sports Medicine Center,(415) 985-5200 ,,Berkeley
Stroke Clinic,(415) 353-8897,,San Francisco
Thoracic Surgery and Oncology Clinic,(415) 885-3882,,San Francisco
Thyroid and Parathyroid Surgery Clinic,(415) 885-7528,,San Francisco
Thyroid Clinic,(415) 353-2350,,San Francisco
Fontana Tobacco Treatment Center,(415) 885-7895,,San Francisco
Total Pancreatectomy – Islet Auto-Transplant (TP-IAT) Clinic,(415) 353-1473,,San Francisco
Trigeminal Neuralgia Clinic,(415) 353-2273,,San Francisco
UCSF – Washington Cancer Center,(510) 248-1600,,Fremont
UCSF-John Muir Health Cancer Center in Berkeley,(510) 420-8000,,Berkeley
UCSF-John Muir Health Cancer Center in Walnut Creek ,"['(925) 296-7390', '(925) 933-0984', '(925) 937-7740', '(925) 296-7333', '(925) 692-5600', '(925) 692-5600', '(925) 692-5600']",,Walnut Creek
Urinary Stone Center,(415) 353-2200,,San Francisco
Urologic Surgical Oncology Clinic,(415) 353-7171,,San Francisco
Urology Practice,(415) 353-2200,,San Francisco
Vascular and Endovascular Surgery Clinic,(415) 353-2357,,San Francisco
Vascular Laboratory,(415) 353-1286,,San Francisco
Vasculitis Clinic,(415) 353-2497,,San Francisco
Viruela símica en UCSF,(415) 502-3566,,San Francisco
Vision Optical Clinic,(415) 476-3100,,San Francisco
Voice and Swallowing Center,(415) 885-7700,,San Francisco
Weight Management Program,(415) 353-7999,,San Francisco
Women’s Center for Bladder & Pelvic Health,(415) 353-2200,,San Francisco
Women's Health Primary Care Clinic,"['(415) 885-7788', '(844) 727-8273']",,San Francisco
Women's HIV Program,(415) 353-2119,,San Francisco
Women's Sports Medicine Center,(415) 353-2808,,San Francisco
Wound & Ostomy Clinic,(415) 885-3606,,San Francisco
